date,ppo_agent,buy_and_hold,monthly_rebalance
2019-01-02,100000.0,,
2019-01-03,100120.32370373607,99285.50452862587,99285.50452862587
2019-01-04,100507.08621422881,100415.18397805575,100375.27289428232
2019-01-07,99752.08564867055,100822.88010743825,100784.83363930415
2019-01-08,100098.25547390478,101085.29396734199,101051.9442270647
2019-01-09,99842.55089019431,101440.83488868579,101411.40781033697
2019-01-10,100473.54387919125,101326.00033998693,101302.60522139678
2019-01-11,99894.24592853471,101379.2715211725,101351.42315077824
2019-01-14,100062.9749441904,101051.06349293514,101017.68803168263
2019-01-15,100286.00091495116,101570.56986377291,101550.25996776597
2019-01-16,100129.04341902187,101697.60926000457,101677.06428481884
2019-01-17,100443.50556207041,101996.27378515925,101984.6196701393
2019-01-18,100322.58815349457,102186.26028641006,102196.2141302028
2019-01-22,99457.64959121759,101710.01672712357,101682.69656177868
2019-01-23,99792.23369283065,101742.03180244257,101717.56982328508
2019-01-24,99656.99813138587,101993.70012460431,101969.62623113845
2019-01-25,99511.52704224703,102610.53505366376,102596.52252819807
2019-01-28,100937.54202181796,102252.46009308795,102222.84441314325
2019-01-29,101273.20601663577,102248.4291234279,102207.78864991682
2019-01-30,101825.38748664712,103199.80323466864,103179.60903750667
2019-01-31,102414.74963572348,103884.9396651087,103875.1575141058
2019-02-01,102484.8525052828,103641.59698613065,103629.99884998394
2019-02-04,102277.53974705616,103862.47289151711,103851.09011021891
2019-02-05,101854.5476741825,104279.96322052908,104269.44248710613
2019-02-06,102121.4290158638,104065.32775312045,104054.73262926488
2019-02-07,101446.45748649086,103777.45434704995,103760.1332098633
2019-02-08,101673.53450954688,104014.70082443567,103997.0963398464
2019-02-11,102053.29181651046,103822.71729891992,103805.35291067207
2019-02-12,101562.24765070967,104385.74205696827,104369.29352619112
2019-02-13,101785.5158507408,104308.48600068499,104294.36996186597
2019-02-14,101392.32074123714,104529.05388030816,104511.72523235163
2019-02-15,101948.29426741162,105005.87086489957,104990.21560627996
2019-02-19,102549.46365382613,105458.75058235068,105440.37767938367
2019-02-20,104067.72873886609,105400.58958286514,105383.37626056142
2019-02-21,103891.00754795037,104827.51257411897,104810.80963649786
2019-02-22,102736.672377024,105312.98571545049,105297.92134194453
2019-02-25,103109.80677516382,105334.2045928932,105321.87793563123
2019-02-26,103006.44631712687,105480.56349890154,105466.12896902418
2019-02-27,103178.13584325637,105075.34653471102,105065.14782404953
2019-02-28,102457.47256440723,104798.25665051249,104789.1447830712
2019-03-01,101892.04308732394,104526.7993611471,104531.5381051069
2019-03-04,100205.65643865275,104567.10153832418,104570.91435223338
2019-03-05,99952.39508408902,104623.60166275817,104626.97323303198
