date,ppo_agent,buy_and_hold,monthly_rebalance
2019-01-02,100000.0,,
2019-01-03,100181.52876542552,99285.49943542811,99285.49943542811
2019-01-04,99237.62548376461,100415.20026565251,100375.28939548363
2019-01-07,100642.322438903,100822.88863109967,100784.84253143624
2019-01-08,101153.08554824018,101085.31203872933,101051.96260982167
2019-01-09,101484.47851089085,101440.8412280398,101411.41490695278
2019-01-10,101932.9461942058,101326.00554861798,101302.61098539119
2019-01-11,101781.77651301406,101379.26930596026,101351.42141171565
2019-01-14,101841.74542535852,101051.05398606576,101017.6792947121
2019-01-15,101427.29843769071,101570.58348090577,101550.27434846903
2019-01-16,102076.82951295882,101697.6074651545,101677.06306891206
2019-01-17,102241.02530765983,101996.27556395992,101984.62276245728
2019-01-18,102609.40733361088,102186.26439207493,102196.2188508152
2019-01-22,102841.34983138328,101710.01106429618,101682.69166119254
2019-01-23,102244.5465234399,101742.0353997854,101717.57454111266
2019-01-24,102284.78732207844,101993.70260068754,101969.6299145903
2019-01-25,102591.79065308331,102610.51961611136,102596.50775134821
2019-01-28,103367.33316825907,102252.45190049945,102222.8374220276
2019-01-29,102916.4473210413,102248.44806538476,102207.80892417188
2019-01-30,102913.73235305445,103199.81782301351,103179.6251183377
2019-01-31,104103.704178511,103884.95545959777,103875.17488448329
2019-02-01,104958.20890563261,103641.61563206185,103630.01899855852
2019-02-04,104648.98323512317,103862.48256014923,103851.10125554471
2019-02-05,104927.75035142162,104279.96157125261,104269.44244985613
2019-02-06,105457.3350259418,104065.3309209179,104054.73743829146
2019-02-07,105178.84540464128,103777.46479580583,103760.14505761131
2019-02-08,104812.77799214897,104014.69650740903,103997.09339671284
2019-02-11,105107.53915689702,103822.70631698152,103805.34327977861
2019-02-12,104865.02995945078,104385.74543463078,104369.29822067668
2019-02-13,105578.26486719318,104308.48938959363,104294.3746193393
2019-02-14,105478.20499060799,104529.05283220812,104511.72540908195
2019-02-15,105749.83349599421,105005.88329015765,104990.22941604338
2019-02-19,106348.04252252623,105458.75263316589,105440.38077257015
2019-02-20,106918.95333687145,105400.59978790977,105383.38750459846
2019-02-21,106845.25578696332,104827.49724378563,104810.79555067488
2019-02-22,106111.8109926024,105312.981092271,105297.91780549877
2019-02-25,106726.10079877127,105334.21865177005,105321.89324556118
2019-02-26,106753.00396270587,105480.57470128768,105466.14148839204
2019-02-27,106938.41317889058,105075.35507179864,105065.15776641805
2019-02-28,106417.63596155943,104798.2773961678,104789.16664370747
2019-03-01,106066.86447001641,104526.81315127386,104531.55297431632
2019-03-04,105719.82014702905,104567.11235587868,104570.9262277817
2019-03-05,105765.9762038753,104623.60236520923,104626.97491668894
2019-03-06,105839.79643288265,104439.89552491106,104442.25914957597
2019-03-07,105602.69126581412,104130.87848180585,104133.38213746727
2019-03-08,105207.3352553474,104377.10456640796,104378.43930467653
2019-03-11,105513.53641080808,104946.42511783476,104940.4082455332
2019-03-12,106237.71153733754,105418.95570521087,105413.23136583187
2019-03-13,106830.83262251205,105828.45405409929,105821.0665686491
2019-03-14,107344.72528610042,105381.75210272285,105375.46627790332
2019-03-15,106778.34761995361,105923.0337184508,105918.80349302094
2019-03-18,107456.65996623955,106046.3361118016,106043.04222919822
